iter	Passed	Remaining
0	60	60612
1	62	31081
2	64	21374
3	65	16413
4	67	13447
5	69	11464
6	70	10020
7	72	9043
8	74	8238
9	76	7574
10	78	7058
11	80	6644
12	82	6243
13	83	5895
14	85	5599
15	86	5333
16	88	5104
17	89	4894
18	91	4706
19	92	4544
20	94	4393
21	95	4255
22	97	4141
23	99	4041
24	102	4003
25	107	4018
26	109	3954
27	112	3888
28	114	3838
29	116	3776
30	118	3700
31	119	3628
32	121	3565
33	123	3506
34	125	3452
35	127	3402
36	129	3358
37	130	3312
38	132	3269
39	134	3220
40	135	3171
41	136	3123
42	138	3079
43	139	3037
44	141	2996
45	142	2956
46	143	2919
47	145	2886
48	147	2856
49	148	2825
50	150	2798
51	152	2771
52	153	2742
53	154	2714
54	156	2688
55	157	2663
56	159	2644
57	161	2623
58	163	2601
59	164	2578
60	166	2556
61	167	2535
62	168	2513
63	170	2491
64	171	2472
65	173	2457
66	175	2438
67	176	2419
68	177	2401
69	179	2382
70	180	2365
71	182	2349
72	183	2333
73	185	2317
74	186	2303
75	188	2289
76	189	2274
77	191	2259
78	192	2244
79	193	2230
80	195	2216
81	196	2202
82	198	2189
83	199	2177
84	201	2164
85	202	2151
86	203	2139
87	205	2127
88	206	2115
89	208	2104
90	209	2093
91	210	2082
92	212	2072
93	215	2081
94	217	2074
95	219	2063
96	220	2052
97	221	2042
98	222	2025
99	223	2015
100	225	2005
101	226	1995
102	228	1986
103	229	1978
104	231	1969
105	232	1958
106	233	1949
107	235	1941
108	236	1932
109	237	1923
110	239	1915
111	240	1907
112	241	1899
113	243	1892
114	244	1884
115	246	1877
116	247	1869
117	249	1863
118	250	1856
119	252	1848
120	253	1841
121	254	1834
122	256	1827
123	257	1820
124	259	1814
125	260	1808
126	262	1803
127	263	1793
128	264	1787
129	266	1781
130	267	1775
131	268	1767
132	270	1761
133	271	1754
134	272	1748
135	274	1743
136	275	1736
137	277	1730
138	278	1725
139	279	1719
140	281	1714
141	282	1708
142	284	1703
143	285	1697
144	286	1689
145	287	1683
146	289	1678
147	290	1673
148	292	1668
149	293	1663
150	295	1658
151	296	1653
152	297	1648
153	299	1643
154	300	1638
155	302	1634
156	303	1629
157	304	1625
158	306	1620
159	307	1616
160	309	1612
161	310	1607
162	312	1603
163	313	1598
164	315	1595
165	316	1590
166	318	1586
167	319	1582
168	321	1578
169	322	1574
170	323	1569
171	325	1565
172	326	1561
173	328	1557
174	329	1553
175	330	1549
176	332	1545
177	333	1541
178	335	1537
179	336	1533
180	337	1529
181	339	1525
182	340	1521
183	341	1515
184	343	1511
185	344	1508
186	346	1504
187	347	1500
188	348	1496
189	350	1492
190	351	1488
191	352	1485
192	354	1482
193	355	1478
194	357	1475
195	358	1471
196	360	1468
197	361	1465
198	363	1462
199	364	1459
200	366	1456
201	367	1452
202	369	1448
203	370	1445
204	371	1441
205	373	1438
206	374	1434
207	375	1431
208	377	1427
209	378	1424
210	380	1422
211	381	1418
212	383	1415
213	384	1412
214	386	1409
215	387	1405
216	388	1403
217	390	1400
218	391	1397
219	393	1393
220	394	1390
221	395	1387
222	397	1384
223	398	1381
224	400	1378
225	401	1374
226	402	1372
227	404	1369
228	405	1366
229	407	1363
230	408	1360
231	410	1357
232	411	1354
233	413	1352
234	414	1349
235	415	1346
236	417	1344
237	419	1341
238	420	1338
239	421	1335
240	423	1333
241	425	1331
242	427	1332
243	429	1329
244	430	1326
245	431	1323
246	433	1320
247	434	1318
248	435	1314
249	437	1311
250	438	1308
